X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.287689994783,44.9470541622401,0302824220091,52,LIC65555,BLWine,Pending,On Sale,2020/03/23 08:59:06+00,2021,2021/04/01 00:00:00+00,HUGE IMPROV THEATER,3037 LYNDALE AVE S," Wine, On Sale, Class A Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, General Entertainment",8,Lyndale,44.94705,-93.28769,-10384738.1475,5613190.0953,2021/01/18 18:15:25+00
-93.2876886239538,44.9471803559131,0302824220092,53,LIC65597,BLWine,Pending,On Sale,2020/04/14 15:53:47+00,2021,2021/04/01 00:00:00+00,Saigon Uptown Restaurant,3035 LYNDALE AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",8,Lyndale,44.94718,-93.28769,-10384737.9949,5613209.9436,2021/01/18 18:15:25+00
-93.2781999208303,44.9410768860853,0302824310003,54,LIC66049,BLWine,Pending,On Sale,2020/03/23 08:59:13+00,2021,2021/04/01 00:00:00+00,RAMEN KAZAMA,3400 NICOLLET AVE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",8,Lyndale,44.94108,-93.2782,-10383681.7173,5612250.0128,2021/01/18 18:15:25+00
-93.2878154166646,44.9411610087309,0302824320060,55,LIC65644,BLWine,Pending,On Sale,2020/04/06 08:57:49+00,2021,2021/04/01 00:00:00+00,SONNY'S CAFE,3403 LYNDALE AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",8,Lyndale,44.94116,-93.28782,-10384752.1094,5612263.2426,2021/01/18 18:15:25+00
-93.2846223433091,44.9342330249773,0302824330289,56,LIC65239,BLWine,Pending,On Sale,2020/03/23 08:59:22+00,2021,2021/04/01 00:00:00+00,VICTORS 1959 CAFE,3756 GRAND AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",8,King Field,44.93423,-93.28462,-10384396.6581,5611173.7574,2021/01/18 18:15:25+00
-93.2886198831544,44.9476573618413,0402824110009,57,LIC66041,BLWine,Pending,On Sale,2020/04/06 08:57:14+00,2021,2021/04/01 00:00:00+00,Szechuan Spice,3016 LYNDALE AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",10,South Uptown,44.94766,-93.28862,-10384841.6622,5613284.9696,2021/01/18 18:15:25+00
-93.288566000407,44.9445057279395,0402824140005,58,LIC65490,BLWine,Pending,On Sale,2020/03/23 08:59:53+00,2021,2021/04/01 00:00:00+00,Pizza Luce,3200 LYNDALE AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",10,South Uptown,44.94451,-93.28857,-10384835.664,5612789.2756,2021/01/18 18:15:25+00
-93.2886157697687,44.9397533672828,0402824410080,59,LIC65936,BLWine,Pending,On Sale,2020/04/14 15:53:57+00,2021,2021/04/01 00:00:00+00,VO'S VIETNAMESE RESTAURANT,3450 LYNDALE AVE S," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",10,South Uptown,44.93975,-93.28862,-10384841.2043,5612041.8682,2021/01/18 18:15:25+00
-93.2903900574392,44.9379167158704,0402824410186,60,LIC65678,BLWine,Pending,On Sale,2020/04/14 15:53:35+00,2021,2021/04/01 00:00:00+00,GIGI'S CAFE,824 36TH ST W," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",10,South Uptown,44.93792,-93.29039,-10385038.7171,5611753.0332,2021/01/18 18:15:25+00
-93.3223138748648,44.9465989362375,0502824210037,61,LIC65583,BLWine,Pending,On Sale,2020/04/14 15:53:42+00,2021,2021/04/01 00:00:00+00,MY BURGER,3100 EXCELSIOR BLVD," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",13,West Calhoun,44.9466,-93.32231,-10388592.4602,5613118.4957,2021/01/18 18:15:25+00
-93.2142950111931,44.9480772180017,0602823120026,62,LIC66162,BLWine,Pending,On Sale,2020/04/06 08:57:04+00,2021,2021/04/01 00:00:00+00,DOGWOOD COFFEE CO,4023 LAKE ST E," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",2,Cooper,44.94808,-93.2143,-10376567.8553,5613351.0073,2021/01/18 18:15:25+00
-93.2124900020382,44.9344690270568,0602823440114,63,LIC65319,BLWine,Pending,On Sale,2020/04/06 08:57:25+00,2021,2021/04/01 00:00:00+00,RIVERVIEW CAFE & WINE BAR,3753 42ND AVE S," Wine, On Sale, Class C2 Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, Limited Entertainment",12,Howe,44.93447,-93.21249,-10376366.9226,5611210.8686,2021/01/18 18:15:25+00
-93.2215837249145,44.9302082717673,0702823240057,64,LIC66043,BLWine,Pending,On Sale,2020/04/06 08:57:34+00,2021,2021/04/01 00:00:00+00,DUMPLING,4004 MINNEHAHA AVE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",12,Hiawatha,44.93021,-93.22158,-10377379.2312,5610540.8906,2021/01/18 18:15:25+00
-93.2163917850675,44.9234946141968,0702823420037,65,LIC66209,BLWine,Pending,On Sale,2020/04/06 08:57:12+00,2021,2021/04/01 00:00:00+00,PARKWAY PIZZA,4359 MINNEHAHA AVE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",12,Hiawatha,44.92349,-93.21639,-10376801.2671,5609485.3094,2021/01/18 18:15:25+00
-93.31381774096,44.9247029102969,0802824420003,66,LIC65301,BLWine,Pending,On Sale,2020/04/14 15:54:06+00,2021,2021/04/01 00:00:00+00,HARRIET BRASSERIE,2724 43RD ST W," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",13,Linden Hills,44.9247,-93.31382,-10387646.6749,5609675.2794,2021/01/18 18:15:25+00
-93.3153356943641,44.9248535508613,0802824420033,67,LIC65810,BLWine,Pending,On Sale,2020/04/14 15:54:31+00,2021,2021/04/01 00:00:00+00,NAVIYA'S THAI BRASSERIE,2812 43RD ST W," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",13,Linden Hills,44.92485,-93.31534,-10387815.6527,5609698.9636,2021/01/18 18:15:25+00
